"gamma","zc","Tc"
0.,0.4588071140209622,-0.4588071140209622
0.1,0.4678190566074211,-0.45880711402096197
0.2,0.4759376123254342,-0.45880711402096147
0.30000000000000004,0.4832893544084418,-0.45880711402096114
0.4,0.4899780241658838,-0.45880711402096086
0.5,0.49608945701101703,-0.4588071140209602
0.6000000000000001,0.50169528588548,-0.45880711402095975
0.7000000000000001,0.5068557620328183,-0.45880711402096236
0.8,0.51162192917096,-0.45880711402096225
0.9,0.5160373176227776,-0.4588071140209623
1.,0.5201392776706902,-0.45880711402096214
